id;member_name;position;joining_date
1;Loan Analyst;International;Rubber
2;Metal Planner COM;California;Shoes Berkshire Account
3;Specialist HTTP York;generation;Chad Marketing Villages
4;reinvent withdrawal Director;Forward Phased Dollar;Versatile
5;SCSI bleeding-edge;AI transmitting Tuna;synthesize clicks-and-mortar Korea
6;Falls compress;SAS Assistant;protocol
7;Direct Gorgeous;Isle Directives;asynchronous
8;Berkshire Profit-focused;Designer;Bouvet
9;Analyst;card Books Ramp;Account
10;Franc;Clothing invoice;solutions
