id;name;email;parent_contact;grade_level
1;Bedfordshire copy Auto;Mariam.Witting32@yahoo.com;Configuration Shoes;97726
2;next Stream;Lincoln.Veum76@hotmail.com;Refined Avon;73708
3;Virtual Incredible;Easton_OReilly57@yahoo.com;adapter and open-source;28610
4;Money Handmade;Dino_Macejkovic@hotmail.com;Refined Uzbekistan Iran;59001
5;Usability Alabama;Patricia76@yahoo.com;payment Practical synthesizing;27636
6;Sports;Darian.Treutel71@hotmail.com;driver Chief Savings;62186
7;online system;Erin_Heathcote18@yahoo.com;Bedfordshire Rustic Specialist;40269
8;Interactions Handmade;Jamil_Stamm@gmail.com;Account;2903
9;Regional;Demarco72@yahoo.com;PNG Virgin Buckinghamshire;86131
10;Platinum RAM;Delfina_Shanahan@hotmail.com;white Grass-roots;74950
